value,window
3500,3494.124
3500,3490.896
3498.8,3489.484
3500,3487.768
3504,3485.38
3501.2,3489.904
3504,3493.032
3504,3495.852
3503.6,3497.216
3503.4,3491.652
3503.8,3489.832
3500.2,3481.376
3502.8,3482.86
3503.8,3485.452
3503.2,3485.888
3504.4,3487.252
3503.4,3485.036
3504.2,3480.228
3502,3473.212
3501.4,3473.444
3500.2,3473.684
3502,3473.928
3500.4,3477.024
3495.2,3480.74
3499.8,3479.568
3495.4,3482.388
3496,3485.168
3495.6,3490.904
3495.4,3491.744
3495.6,3492.92
3497.6,3491.096
3495.6,3489.82
3497.2,3489.42
3495.6,3488.904
3495.6,3485.032
3497.4,3481.36
3497.2,3482.244
3497.2,3484.176
3494,3480.024
3494.8,3482.468
3494.8,3484.696
3497.6,3488.2
3497.8,3491.844
3494.6,3492.752
3494.8,3492.54
3495.2,3493.216
3494.8,3493.216
3495.2,3493.036
3494.6,3491.628
3497.8,3487.54
3497.8,3484.588
3497.8,3485.28
3495.6,3485.524
3494.6,3490.352
3496,3494.808
3497.6,3494.016
3496,3497.48
3496,3499.86
3495,3501.728
3495.2,3500.112
3495,3499.368
3494.6,3498.76
3494.6,3494.652
3494.6,3492.388
3494.6,3493.2
3495,3487.716
3494.8,3484.82
3496.4,3483.2
3494.6,3483.568
3494.6,3482.744
3494.6,3482.632
3494.8,3479.856
3494.8,3479.16
3494.8,3477.536
3495,3480.116
3494.8,3481.692
3494.8,3477.2
3494.8,3481.044
3493.8,3482.9
3493.6,3479.24
3493.4,3484.772
3493.6,3484.308
3493.2,3480.184
3494,3481.348
3495,3477.82
3494,3474.532
3494.8,3472.7
3494.6,3474.852
3493,3479.692
3492.2,3479.528
3492.6,3483.164
3491.2,3485.752
3491.2,3483.552
3490.2,3482.32
3490,3480.276
3488.8,3481.556
3489.4,3480.596
3491.6,3485.908
3489.4,3492.368
3489.8,3491.688
3489.8,3491.648
3489.8,3491.692
3489.8,3496.128
3489.8,3498.64
3490,3503.776
3491.6,3506.932
3491.6,3506.144
3490.4,3503.96
3490.6,3503.3
3490.6,3506.9
3490,3508.784
3490,3511.312
3490,3512.16
3490,3509.54
3490,3508.288
3490.2,3509.728
3489.8,3517.168
3490,3519.196
3490.2,3516.244
3490,3521.364
3490.2,3521.948
3489.8,3521.052
3490,3520.216
3490.2,3518.496
3490.2,3520.992
3490.2,3517.352
3490,3520.688
3490.4,3522.384
3490.4,3527.088
3491.4,3529.288
3490.8,3529.44
3492,3536.444
3492,3538.1
3492.2,3543.004
3492.6,3546.348
3492.6,3546.004
3492.2,3546.784
3492.6,3542.044
3492.4,3542.576
3492.4,3543.436
3493,3545.072
3492.4,3552.868
3492.2,3552.22
3490.2,3544.992
3491.8,3539.684
3491.8,3539.96
3491.6,3536.152
3491.6,3535.32
3491.6,3533.576
3491.6,3528.924
3490.6,3528.936
3491.4,3532.22
3491,3530.728
3491.4,3522.324
3491,3521.512
3490.4,3518.76
3490.8,3517.152
3490.6,3520.256
3491.6,3522.448
3490,3523.152
3491.8,3522.984
3490.2,3519.108
3490,3522.356
3490.8,3525.476
3490.8,3521.656
3490,3516.356
3490,3519.708
3490,3515.132
3490,3511.06
3490,3507.296
3490,3502.004
3490,3504.256
3489.4,3499.208
3489,3500.92
3488,3507.052
3488,3507.368
3488.4,3509.116
3486.8,3509.024
3486.8,3508.776
3488.6,3510.736
3487,3511.716
3487,3516.272
3489,3517.428
3487.2,3518.072
3487.2,3515.5
3488,3513.588
3488,3515.04
3488.6,3517.908
3488,3518.436
3489,3519.152
3489,3518.368
3489,3516.052
3489,3516.336
3489,3518.08
3489.4,3515.676
3489.2,3513.596
3489.2,3517.044
3491,3517.184
3491.4,3517.904
3491,3520.656
3491,3521.212
3489.6,3522.18
3489.4,3524.16
3490.2,
3490.2,
3490.2,
3489.4,
3489.4,
3489.8,
